"row_names","CompanyID","Column_Rating","Company_Name","Location","HQ_Address","Size","Founded","type_of_ownership","Industry","Sector","Revenue","Competitors","company_txt","Company_Age"
"1",0,3.8,"Tecolote Research
3.8","Albuquerque, NM","Goleta, CA","501 - 1000 ",1973,"Company - Private","Aerospace & Defense","Aerospace & Defense","$50 to $100 million (USD)","-1","Tecolote Research",48
"2",1,3.4,"University of Maryland Medical System
3.4","Linthicum, MD","Baltimore, MD","10000+ ",1984,"Other Organization","Health Care Services & Hospitals","Health Care","$2 to $5 billion (USD)","-1","University of Maryland Medical System",37
"3",2,4.8,"KnowBe4
4.8","Clearwater, FL","Clearwater, FL","501 - 1000 ",2010,"Company - Private","Security Services","Business Services","$100 to $500 million (USD)","-1","KnowBe4",11
"4",3,3.8,"PNNL
3.8","Richland, WA","Richland, WA","1001 - 5000 ",1965,"Government","Energy","Oil, Gas, Energy & Utilities","$500 million to $1 billion (USD)","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory","PNNL",56
"5",4,2.9,"Affinity Solutions
2.9","New York, NY","New York, NY","51 - 200 ",1998,"Company - Private","Advertising & Marketing","Business Services","Unknown / Non-Applicable","Commerce Signals, Cardlytics, Yodlee","Affinity Solutions",23
"6",5,3.4,"CyrusOne
3.4","Dallas, TX","Dallas, TX","201 - 500 ",2000,"Company - Public","Real Estate","Real Estate","$1 to $2 billion (USD)","Digital Realty, CoreSite, Equinix","CyrusOne",21
"7",6,4.1,"ClearOne Advantage
4.1","Baltimore, MD","Baltimore, MD","501 - 1000 ",2008,"Company - Private","Banks & Credit Unions","Finance","Unknown / Non-Applicable","-1","ClearOne Advantage",13
"8",7,3.8,"Logic20/20
3.8","San Jose, CA","Seattle, WA","201 - 500 ",2005,"Company - Private","Consulting","Business Services","$25 to $50 million (USD)","-1","Logic20/20",16
"9",8,3.3,"Rochester Regional Health
3.3","Rochester, NY","Rochester, NY","10000+ ",2014,"Hospital","Health Care Services & Hospitals","Health Care","$500 million to $1 billion (USD)","-1","Rochester Regional Health",7
"10",9,4.6,"<intent>
4.6","New York, NY","New York, NY","51 - 200 ",2009,"Company - Private","Internet","Information Technology","$100 to $500 million (USD)","Clicktripz, SmarterTravel","<intent>",12
"11",10,3.5,"Wish
3.5","San Jose, CA","San Francisco, CA","501 - 1000 ",2011,"Company - Private","Other Retail Stores","Retail","$1 to $2 billion (USD)","-1","Wish",10
"12",11,4.1,"ManTech
4.1","Chantilly, VA","Herndon, VA","5001 - 10000 ",1968,"Company - Public","Research & Development","Business Services","$1 to $2 billion (USD)","-1","ManTech",53
